.id,mtry,num.trees,train_err,test_err
3,10,466.66666666666663,209.9705701526623,721.3501649263744
3,16,288.8888888888889,215.888630951259,733.6562598018746
3,4,288.8888888888889,233.44487265329337,743.6728931424109
3,4,377.77777777777777,241.22679127422913,757.8749323791536
3,1,377.77777777777777,323.0353228696951,764.6827900666112
3,1,288.8888888888889,329.40355041986027,773.1864149790358
3,1,644.4444444444445,341.3502608515858,775.4812854053595
3,1,555.5555555555555,330.8294254845422,789.9929896099788
3,1,1000,329.1254546400333,791.2277027393891
3,1,466.66666666666663,330.15111426470185,791.3400397878916
3,1,911.1111111111111,333.3926468870588,791.6424415732461
3,1,733.3333333333333,315.71128856897286,802.6781883505197
3,1,200,344.71942481423355,807.4986336533142
3,1,822.2222222222222,338.45662378923134,822.0620831161507
1,1,555.5555555555555,310.2826890492411,825.3010847127629
1,1,200,316.4677809780588,825.5672070043429
1,1,822.2222222222222,323.40299533248566,825.7458908252323
1,1,733.3333333333333,324.0630463487197,830.3202553170751
1,1,288.8888888888889,336.24152348268353,830.3822681485101
1,1,1000,325.6428942491747,843.5722685449463
1,1,911.1111111111111,322.7399156564593,850.1141590291946
1,1,466.66666666666663,328.5609815198347,857.0293025793541
1,1,377.77777777777777,321.5177759649763,862.4475925709963
1,1,644.4444444444445,333.2659950659154,871.405519010911
2,1,377.77777777777777,260.5837142772828,1447.73411139461
2,1,466.66666666666663,263.99642875304374,1468.0657797308372
2,4,377.77777777777777,177.1664410374573,1472.1037358852818
2,1,288.8888888888889,273.3004707515097,1473.7553921409758
2,4,466.66666666666663,176.7400085086174,1473.9397391410703
2,4,555.5555555555555,177.39176130391135,1476.4323148536691
2,1,822.2222222222222,259.2212573427563,1479.2383693773515
2,1,733.3333333333333,261.23723567887384,1480.4831336946586
2,4,822.2222222222222,177.21598075621395,1482.0308972663322
2,7,555.5555555555555,156.1692494645429,1499.8693102885932
2,4,200,187.35835826112785,1502.7142440402129
2,4,911.1111111111111,174.40737615630587,1503.7133693255755
2,1,1000,262.911743280142,1509.887452194798
2,4,1000,175.9319867322827,1510.008412237258
2,7,466.66666666666663,167.5894248698678,1511.3804550197244
2,1,911.1111111111111,256.34964433283824,1511.5118749498376
2,7,733.3333333333333,170.42643778487084,1513.0204944974216
2,7,200,170.6460178658518,1515.257017862267
2,4,644.4444444444445,178.30585652116872,1515.3090571753792
2,4,288.8888888888889,172.67918308240024,1524.5862748661193
2,4,733.3333333333333,179.71639961871315,1524.5939281924864
2,1,644.4444444444445,260.3955924538135,1530.1560568829852
2,1,555.5555555555555,257.4080027066458,1530.2813331965078
2,7,377.77777777777777,159.87628009488085,1530.64797258831
2,7,288.8888888888889,164.99799355414402,1535.248383452469
2,7,644.4444444444445,161.60758241558878,1540.5910533939268
2,7,1000,169.05325162223144,1541.0171400864322
2,1,200,267.8656683874759,1546.630086102864
2,7,822.2222222222222,161.83301887545002,1553.2214713575
2,7,911.1111111111111,160.80244593477,1563.685591400286
2,10,377.77777777777777,153.79572596502186,1573.1401958273839
2,10,822.2222222222222,154.3658751545323,1578.3596852016062
2,10,200,163.6744547777871,1598.4998729851143
2,10,644.4444444444445,155.00064636359335,1601.5463805040547
2,10,733.3333333333333,157.70455091773417,1603.7799477108213
2,10,466.66666666666663,157.08011544355708,1611.9987478318476
2,10,911.1111111111111,152.23628385121788,1619.013052541475
2,13,288.8888888888889,152.6019183086183,1619.3986967003045
2,13,377.77777777777777,153.50921683347627,1634.2844707329339
2,10,1000,157.25978035189948,1638.2689222914266
2,10,555.5555555555555,157.5869455958081,1638.692945740556
2,13,466.66666666666663,155.37104395396568,1644.5011148176777
2,10,288.8888888888889,149.1268592516947,1652.487006129488
2,13,733.3333333333333,153.38808260518582,1663.1927992867866
2,13,1000,152.3616792711568,1670.2623421267663
2,13,822.2222222222222,153.50575297933472,1673.96876490856
2,13,644.4444444444445,148.40003002672998,1674.4537026118348
2,13,555.5555555555555,158.4325991824408,1677.7343755084228
2,13,911.1111111111111,146.37637088198576,1682.7708124740566
2,13,200,152.6023220208776,1691.605336211578
2,16,911.1111111111111,149.77800948017693,1705.9240490355153
2,16,822.2222222222222,149.49894833320852,1706.361217506507
2,16,555.5555555555555,151.2420563042857,1710.5075974488075
