state,pred_change,pred_total,date,total_deaths,change
Indiana,43.16648864746094,1897.6885604858398,2020-05-21,1913,49
Indiana,42.70315933227539,1940.3917198181152,2020-05-22,1941,28
Indiana,42.86113739013672,1983.252857208252,2020-05-23,1964,23
Indiana,35.20100021362305,2018.453857421875,2020-05-24,1976,12
Indiana,35.43989181518555,2053.8937492370605,2020-05-25,1984,8
Indiana,61.180809020996094,2115.0745582580566,2020-05-26,2004,20
Indiana,77.1075668334961,2192.1821250915527,2020-05-27,2030,26
Indiana,81.920654296875,2274.1027793884277,2020-05-28,2068,38
Indiana,82.0445556640625,2356.1473350524902,2020-05-29,2110,42
Indiana,79.38208770751953,2435.5294227600098,2020-05-30,2125,15
Indiana,73.65435028076172,2509.1837730407715,2020-05-31,2134,9
Indiana,75.35247802734375,2584.5362510681152,2020-06-01,2143,9
Iowa,15.060361862182617,370.0603618621826,2020-05-19,367,12
Iowa,14.822726249694824,384.88308811187744,2020-05-20,393,26
Iowa,15.390985488891602,400.27407360076904,2020-05-21,410,17
Iowa,12.526829719543457,412.8009033203125,2020-05-22,424,14
Iowa,12.127725601196289,424.9286289215088,2020-05-23,446,22
Iowa,7.535792350769043,432.46442127227783,2020-05-24,456,10
Iowa,9.167878150939941,441.6322994232178,2020-05-25,456,0
Iowa,18.697956085205078,460.33025550842285,2020-05-26,477,21
Iowa,18.36045265197754,478.6907081604004,2020-05-27,496,19
Iowa,19.668333053588867,498.35904121398926,2020-05-28,506,10
Iowa,19.652935028076172,518.0119762420654,2020-05-29,524,18
Iowa,18.67241096496582,536.68438720703125,2020-05-30,531,7
Iowa,10.625287055969238,547.3096742630005,2020-05-31,535,4
Iowa,16.061138153076172,563.3708124160767,2020-06-01,555,20
Kansas,7.419498920440674,205.41949892044067,2020-05-19,199,1
Kansas,7.678262710571289,213.09776163101196,2020-05-20,202,3
Kansas,6.102543354034424,219.2003049850464,2020-05-21,204,2
Kansas,2.7231996059417725,221.92350459098816,2020-05-22,205,1
Kansas,5.714654445648193,227.63815903663635,2020-05-23,205,0
