state,pred_change,pred_total,date,total_deaths,change
Georgia,23.988597869873047,1909.698980331421,2020-05-26,1896,48
Georgia,34.96976089477539,1944.6687412261963,2020-05-27,1933,37
Georgia,34.23329544067383,1978.9020366668701,2020-05-28,1973,40
Georgia,33.85295104980469,2012.7549877166748,2020-05-29,1987,14
Georgia,35.2820930480957,2048.0370807647705,2020-05-30,2004,17
Georgia,25.24590492248535,2073.282985687256,2020-05-31,2053,49
Georgia,31.383813858032227,2104.666799545288,2020-06-01,2094,41
Hawaii,1.7568771839141846,18.756877183914185,2020-05-19,17,0
Hawaii,1.1859166622161865,19.94279384613037,2020-05-20,17,0
Hawaii,1.1410247087478638,21.083818554878235,2020-05-21,17,0
Hawaii,1.1410247087478638,22.2248432636261,2020-05-22,17,0
Hawaii,1.1410247087478638,23.365867972373962,2020-05-23,17,0
Hawaii,0.6739314198493958,24.039799392223358,2020-05-24,17,0
Hawaii,1.2049896717071533,25.24478906393051,2020-05-25,17,0
Hawaii,1.7883113622665405,27.033100426197052,2020-05-26,17,0
Hawaii,1.6192176342010498,28.652318060398102,2020-05-27,17,0
Hawaii,1.356393814086914,30.008711874485016,2020-05-28,17,0
Hawaii,1.327094316482544,31.33580619096756,2020-05-29,17,0
Hawaii,1.327094316482544,32.662900507450104,2020-05-30,17,0
Hawaii,0.8360968828201294,33.49899739027023,2020-05-31,17,0
Hawaii,1.3793628215789795,34.87836021184921,2020-06-01,17,0
Idaho,1.8966213464736938,75.8966213464737,2020-05-19,74,0
Idaho,1.7301867008209229,77.62680804729462,2020-05-20,77,3
Idaho,1.2486650943756104,78.87547314167023,2020-05-21,77,0
Idaho,1.8955639600753784,80.7710371017456,2020-05-22,79,2
Idaho,1.5423702001571655,82.31340730190277,2020-05-23,79,0
Idaho,0.9811432957649231,83.2945505976677,2020-05-24,79,0
Idaho,1.5224772691726685,84.81702786684036,2020-05-25,79,0
Idaho,2.388794422149658,87.20582228899002,2020-05-26,79,0
Idaho,1.7254509925842285,88.93127328157425,2020-05-27,81,2
Idaho,1.7777276039123535,90.7090008854866,2020-05-28,82,1
Idaho,1.5329160690307617,92.24191695451736,2020-05-29,82,0
Idaho,1.8649286031723022,94.10684555768967,2020-05-30,82,0
Idaho,1.2454365491867065,95.35228210687637,2020-05-31,82,0
Idaho,1.4928178787231445,96.84509998559952,2020-06-01,82,0
Illinois,110.58470916748047,4344.5847091674805,2020-05-19,4379,145
Illinois,144.3816680908203,4488.966377258301,2020-05-20,4525,146
Illinois,130.4086151123047,4619.3749923706055,2020-05-21,4607,82
Illinois,107.8856430053711,4727.260635375977,2020-05-22,4715,108
