state,date,total_deaths,change,pred_change,pred_total
Georgia,2020-05-24,1827,5,25.86744444444444,1846.072722222222
Georgia,2020-05-25,1848,21,34.83200000000001,1880.904722222222
Georgia,2020-05-26,1896,48,37.00183333333334,1917.9065555555553
Georgia,2020-05-27,1933,37,40.34783333333332,1958.2543888888886
Georgia,2020-05-28,1973,40,58.76649999999999,2017.0208888888885
Georgia,2020-05-29,1987,14,42.43088888888887,2059.4517777777774
Georgia,2020-05-30,2004,17,34.95827777777778,2094.410055555555
Georgia,2020-05-31,2053,49,30.263944444444455,2124.6739999999995
Georgia,2020-06-01,2094,41,40.44172222222221,2165.115722222222
Hawaii,2020-05-19,17,0,0.03161111111111111,17.03161111111111
Hawaii,2020-05-20,17,0,0.12994444444444445,17.161555555555555
Hawaii,2020-05-21,17,0,0.061388888888888896,17.222944444444444
Hawaii,2020-05-22,17,0,0.14311111111111113,17.366055555555555
Hawaii,2020-05-23,17,0,0.15644444444444447,17.5225
Hawaii,2020-05-24,17,0,0.1737777777777778,17.69627777777778
Hawaii,2020-05-25,17,0,0.16711111111111113,17.863388888888892
Hawaii,2020-05-26,17,0,0.19294444444444442,18.056333333333335
Hawaii,2020-05-27,17,0,0.2602777777777777,18.31661111111111
Hawaii,2020-05-28,17,0,0.18294444444444444,18.499555555555556
Hawaii,2020-05-29,17,0,0.1812777777777778,18.680833333333332
Hawaii,2020-05-30,17,0,0.17794444444444443,18.858777777777778
Hawaii,2020-05-31,17,0,0.1812777777777778,19.040055555555554
Hawaii,2020-06-01,17,0,0.18683333333333332,19.226888888888887
Idaho,2020-05-19,74,0,1.4316666666666662,75.43166666666667
Idaho,2020-05-20,77,3,1.2872222222222218,76.7188888888889
Idaho,2020-05-21,77,0,1.7161111111111111,78.435
Idaho,2020-05-22,79,2,1.5877222222222216,80.02272222222223
Idaho,2020-05-23,79,0,2.1398888888888887,82.16261111111112
Idaho,2020-05-24,79,0,1.7347222222222216,83.89733333333334
Idaho,2020-05-25,79,0,2.4028888888888895,86.30022222222223
Idaho,2020-05-26,79,0,1.910333333333333,88.21055555555556
Idaho,2020-05-27,81,2,2.3341666666666665,90.54472222222222
Idaho,2020-05-28,82,1,2.2757222222222206,92.82044444444443
Idaho,2020-05-29,82,0,2.276444444444445,95.09688888888888
Idaho,2020-05-30,82,0,2.3520000000000008,97.44888888888889
Idaho,2020-05-31,82,0,2.3983888888888893,99.84727777777778
Idaho,2020-06-01,82,0,2.4730000000000003,102.32027777777778
Illinois,2020-05-19,4379,145,121.76477777777782,4355.7647777777775
Illinois,2020-05-20,4525,146,138.01388888888877,4493.778666666666
Illinois,2020-05-21,4607,82,126.71277777777779,4620.491444444444
Illinois,2020-05-22,4715,108,102.7262222222222,4723.217666666666
Illinois,2020-05-23,4790,75,84.84827777777777,4808.0659444444445
Illinois,2020-05-24,4856,66,66.38377777777778,4874.449722222223
Illinois,2020-05-25,4885,29,65.13311111111112,4939.582833333334
Illinois,2020-05-26,4923,38,107.86172222222227,5047.444555555556
Illinois,2020-05-27,5083,160,109.55255555555559,5156.997111111112
Illinois,2020-05-28,5186,103,116.87683333333332,5273.873944444445
Illinois,2020-05-29,5270,84,102.99816666666666,5376.872111111112
Illinois,2020-05-30,5330,60,99.42444444444446,5476.296555555557
Illinois,2020-05-31,5390,60,94.76211111111114,5571.058666666668
Illinois,2020-06-01,5412,22,89.65255555555561,5660.711222222223
Indiana,2020-05-19,1824,59,46.195777777777764,1811.1957777777777
